,RW,HL1,HL2,HL3
44,-10.651635339199654,-20.27945538260841,-8.216960673306842,7.148569383484795
45,-11.068856140270407,-21.947940127301106,-8.290534087650906,7.264624499005308
46,-11.524476005579515,-22.82307140743851,-8.387589148185818,7.0923984415876635
47,-12.082291997836318,-23.838064587027148,-8.38886617164586,6.941841436533988
48,-12.613865501283614,-25.286278758005402,-8.542895187500031,6.703636735866337
49,-13.104653633343133,-26.756953776176093,-8.627001041206352,6.4119859521453755
50,-13.78712434505847,-27.893455094127987,-8.449451749290558,6.231374217855484
51,-14.604905079213232,-29.389557921905034,-8.369653915144973,6.0502581000316775
52,-15.260418512722168,-30.87758163237385,-8.395611625349774,5.996779806794927
53,-15.810790117496158,-32.77779935590335,-8.313610146737807,6.147841459858633
54,-16.01311143273585,-34.825083061992395,-8.327338153845975,6.185361832642429
55,-15.964346863054693,-37.56075414585056,-8.261089076136983,6.1364676139327345
56,-15.956607541517249,-39.96622951397067,-8.17188405416537,5.896606749996836
57,-16.248703885136287,-43.766480336248506,-8.374618848898859,5.601370410926834
58,-16.49478369810913,-45.81657284545876,-8.618123358199194,5.280287651745393
59,-17.039626828925858,-47.38031589758845,-8.700820929612384,5.146570003277801
60,-17.493000409233073,-48.11304168292433,-8.652905961449664,5.055927012152223
61,-17.906039961868018,-48.19919665503281,-8.716703619214245,5.089775893325852
62,-18.08652170806844,-48.4184243946792,-8.862160194438426,5.233296174547556
63,-18.202590636153346,-48.56356350901563,-9.007426788933383,5.70412628339323
64,-18.542806030328265,-49.13797270470977,-8.944186942672623,6.318671070199126
65,-18.537497753818364,-49.63533680947416,-8.940825270517136,6.965407783277121
66,-18.520544888459323,-50.25942899153197,-8.937781360467296,7.55401020086708
67,-18.457027338424183,-50.34888483394968,-8.908282041935495,8.55279214835407
68,-18.557422072893186,-50.273330267910474,-8.914364979454641,9.79301547521577
69,-18.490455404011705,-49.82197658865112,-8.953446878032803,11.910647872779938
70,-18.422098849765003,-48.83284182067975,-9.064618511363845,13.013522426731972
71,-18.76703437401429,-48.02869575872564,-9.302266503617707,13.502233650152716
72,-18.675823885441687,-47.86611233510448,-9.501066246899615,12.895713858347733
73,-19.150617771141476,-48.50169713813534,-10.153272195812047,12.129368865046947
74,-19.426105412610735,-47.93796412313497,-10.41457664053925,11.331012977290424
75,-19.445611765148122,-47.22614823337795,-10.408294651528614,10.614347468905601
76,-19.432938648096247,-46.95049698615817,-10.574228428735644,9.887452194133745
77,-19.186239397011015,-46.71891764988826,-10.708690985058627,9.468239305033011
78,-18.737972973109244,-46.02121003320024,-10.799541625955987,8.71022414623569
79,-18.6378085395125,-45.05620866387253,-10.984057749337389,7.993544529802064
80,-18.527245237848618,-44.26695360721212,-10.8174259710469,6.69532038601994
81,-18.479385744005512,-43.95578693832509,-10.873715977505276,-6.89540536284285
82,-18.45397380250291,-43.55056153256319,-11.00946623666205,-7.197647383083387
83,-18.22481103127793,-42.51113656603996,-11.003228646494748,-7.525426366501548
84,-17.852339156460094,-41.68553719068624,-10.943198916401967,-8.093319264116246
85,-17.52302969091776,-40.94374970860824,-10.827407562274344,-8.810510317284582
86,-17.143827609191653,-40.048783810454786,-10.941355361253285,-9.278167607868866
87,-17.106736574720514,-39.03637569840193,-11.120681742538245,-9.780810493484234
