,hurst_exp
275,0.26062722079738754
276,0.26360439366610533
277,0.26743627504095946
278,0.2696656353116213
279,0.26967525515240576
280,0.2663458197870469
281,0.2635324247171299
282,0.26225718276768556
283,0.2598653003028177
284,0.26052416955863233
285,0.2618158702456469
286,0.26552497508813416
287,0.2664076813204404
288,0.25206838813981514
289,0.24252640103153192
290,0.2381390210870859
291,0.23629797551862214
292,0.23934275976516173
293,0.24512227431407094
294,0.2521370880942076
295,0.2570404749168985
296,0.2638656230207199
297,0.27035776158690966
298,0.2792796158463511
299,0.28569884282744
300,0.2918166235641122
301,0.2995229244364773
302,0.3034858590902145
303,0.3042165618829455
304,0.2933241016923952
305,0.284828809590126
306,0.27748757588789685
307,0.26989786554117595
308,0.26639894958456956
309,0.2634571938612098
310,0.2599483603669363
311,0.2577947901508055
312,0.2562910836966364
313,0.25137795748380243
314,0.24652056927227844
315,0.24032455275027095
316,0.23394469332008716
317,0.22711817779288568
318,0.22423677259142566
319,0.2206525405713651
320,0.2156351346965979
321,0.20818292771514502
322,0.2014302505714254
323,0.19519756345824765
324,0.19153824755531346
325,0.18819057741685138
326,0.18636535509820762
327,0.1841371628792581
328,0.18342310457918162
329,0.18388061464321476
330,0.18525111445607567
331,0.18657047588091433
332,0.18898959234837984
333,0.19417252678764235
334,0.20211101213777996
335,0.20855424371336576
336,0.2162322179152588
337,0.22366619472976396
338,0.23054198713273047
339,0.2317477069270937
340,0.2374945787480909
341,0.2436237606789782
342,0.24960060562508687
343,0.25935803128058366
344,0.2682886269115427
345,0.28000317374179245
346,0.2924344906490842
347,0.30515059992870164
348,0.31749387070983054
349,0.3250013563421974
350,0.3358870333245674
351,0.34765139426302233
352,0.36161482093696085
353,0.37530080891455914
354,0.3876862904282693
355,0.3998452719927598
356,0.40864736931465667
357,0.41139704250619624
358,0.40264727515521265
359,0.4027642672602974
360,0.40163369159921375
361,0.39626957482696057
362,0.395640728826209
363,0.39441603429100247
364,0.39270163587443707
365,0.39024138530719166
366,0.3876399156165229
367,0.38217151931878884
368,0.3758919802118027
369,0.3666098609014525
370,0.3568181586140908
371,0.3468339073239351
372,0.33946834946810883
373,0.33250034124729927
374,0.32708797543871854
375,0.3202040957106045
376,0.31096849948823907
377,0.30209889202380036
378,0.2941131208513305
379,0.28669579656736316
380,0.2800863841555795
381,0.27587450349907083
382,0.2675737355063687
383,0.2588955696029216
384,0.2515791009409079
385,0.24257300002581123
386,0.23299395803054845
387,0.2231817663877133
388,0.21639596347919032
389,0.2107734100186039
390,0.20748962327179224
391,0.20722675974606708
392,0.2093126512397807
393,0.21085355797009311
394,0.21822475145768438
395,0.22981282426262012
396,0.24174293430252
397,0.2516937985727414
398,0.26557577609064287
399,0.27438890403295646
400,0.2800216683665702
401,0.2811685275731957
402,0.29266334366216923
403,0.3028663804329589
404,0.31376517579896973
405,0.3271177916226748
406,0.34076116409812546
407,0.35450689470807756
408,0.3641572339474484
409,0.37383278056567737
410,0.3840204242835676
411,0.39235388139253324
412,0.4021648633625481
413,0.41009970282854386
414,0.42209689808694784
415,0.43605015261110597
416,0.43736095748439147
417,0.4398833306712446
418,0.4391864963672162
419,0.43270929042631084
420,0.4286520409918923
421,0.424670236641877
422,0.42189958635819214
423,0.4198627055075288
424,0.41697428030928585
425,0.4138545536797368
426,0.40668344711786236
427,0.3997442704394685
428,0.39369545339270645
429,0.3810017829446205
430,0.36629258072643545
431,0.3551742441144162
432,0.34666871616328804
433,0.33939019856896885
434,0.3328224881112742
435,0.32665571873589444
436,0.31884286600900447
437,0.30904410561023027
438,0.30079339837001895
439,0.2933587221607758
440,0.28684410753287004
441,0.2827505997562568
442,0.27944249847896363
443,0.27814069159152527
444,0.2775610560096227
445,0.27739343927287646
446,0.27842710809271515
447,0.27863981031037416
448,0.2771035233846963
449,0.27776463266587426
450,0.2788524220356304
451,0.26981261117304356
452,0.2626635350794759
453,0.2615530421627047
454,0.26004979571625547
455,0.2595179524103799
456,0.2654892478969528
457,0.27232335779754985
458,0.27803515966998454
459,0.28661672219245926
460,0.28807099920929624
461,0.2896571256398986
462,0.29010352664775896
463,0.2941578386209397
464,0.28995916583368764
465,0.2857965640914748
466,0.27826365112565277
467,0.2705547788446248
468,0.26978922853146675
469,0.26812900474204243
470,0.265329708899996
471,0.2617135742178742
472,0.2567977855560714
473,0.25169655567138405
474,0.24642711089894767
475,0.24209030159112846
476,0.2394368823002243
477,0.2391145009451583
478,0.23282875802269737
479,0.2263230797603328
480,0.21682879391546325
481,0.20923824777906475
482,0.20228275575759302
483,0.1932466387619773
484,0.18281769282800542
485,0.17507473571829701
486,0.17113913625697535
487,0.16885584165997192
488,0.16548880739301183
489,0.16624017910418493
490,0.16577582244843372
491,0.16782354797830676
492,0.1691284133716557
493,0.17204392639717392
494,0.1744652526485151
495,0.1751146110934681
496,0.17317520645016057
497,0.17380321567205217
498,0.17960618142204632
499,0.1857165642117269
500,0.19250238671399528
501,0.20171901364680728
502,0.21061996139445574
503,0.22103971495717786
504,0.23005179652345653
505,0.24011642248727658
506,0.24812079617632812
507,0.2538164321572406
508,0.2622838035388824
509,0.2679888790077573
510,0.27525185619655096
511,0.28227995217618274
512,0.28973189639126895
513,0.2976809032562817
514,0.3064560074233397
515,0.31647076437922683
516,0.3231794310992823
517,0.334154029432341
518,0.3390946544728978
519,0.3446816004669978
520,0.3453233599848094
521,0.34030406106347394
522,0.33383260358785594
523,0.32763799841552954
524,0.3244880325529959
525,0.3213177393540622
526,0.3151009647869227
527,0.3120564165705506
528,0.30979556685126397
529,0.3114846444097465
530,0.3028944585443174
531,0.2968087455285979
532,0.29062760559056333
533,0.27973168427653944
534,0.26575340224042115
535,0.2528347030178447
536,0.2425588688748156
537,0.2302097467953424
538,0.2167421283290022
539,0.20638824191906022
540,0.1969936135687532
541,0.19269561114393013
542,0.18578868876422838
543,0.1748010198019919
544,0.16758369157339867
545,0.1611997933208069
546,0.15718854838311652
547,0.15705184158950544
548,0.15092340734771884
549,0.14574842748464584
550,0.13607471758205333
551,0.127147718783057
552,0.12068083521628471
553,0.11169019081342922
554,0.10545843296673217
555,0.09879768324101623
556,0.09094541694321741
557,0.08780674387495224
558,0.08626191466762248
559,0.08328961720444124
560,0.08022130854958424
561,0.07704604249558436
562,0.07868662635838429
563,0.08195318058448464
564,0.08794728017051039
565,0.09684966639770712
566,0.10743333310708131
567,0.11697497399476835
568,0.12520126995713593
569,0.1354811176261485
570,0.14074087909281627
571,0.1460366206086038
572,0.15327008215256405
573,0.16561336791641493
574,0.17793520455961584
575,0.19253338039218995
576,0.20540538566853625
577,0.2160519195157639
578,0.22562515129487837
579,0.23568797694565338
580,0.24608463143106807
581,0.25535261493635175
582,0.2638882239616909
583,0.2716883472768719
584,0.28107472942637995
585,0.2907101544532318
586,0.30007711965742445
587,0.3116909399284735
588,0.31884290163617207
589,0.3263194326267479
590,0.332317660973061
591,0.341153935341102
592,0.34764715728862555
593,0.3544085744353619
594,0.36225075761818853
595,0.3704817677941848
596,0.3777452820613442
597,0.38359667822508087
598,0.38677547269874574
599,0.39034724726645653
600,0.39283700272182814
601,0.39650598249748575
602,0.4037182936070722
603,0.40897296367474467
604,0.42153789532393143
605,0.42883272149967355
606,0.4287875110229643
607,0.4284724605650471
608,0.42811933105209926
609,0.4256512121607275
610,0.4242864872980841
611,0.41883082622116624
612,0.4084060306662077
613,0.39866553380483827
614,0.3889664748462299
615,0.38115620383429943
616,0.37167392652056586
617,0.3608390876628706
618,0.3516069550629745
619,0.3449058606122181
620,0.3369406616293609
621,0.3302372205726373
622,0.3225507296151448
623,0.31108483698972184
624,0.2988661833732314
625,0.2878299184313691
626,0.2792278445091183
627,0.2742869215710192
628,0.272252681424639
629,0.2750188692619893
630,0.2769251111857407
631,0.2862557767367084
632,0.2951570986572383
633,0.30852612991834033
634,0.32307856382166195
635,0.3406560729008271
636,0.35460574620775176
637,0.3680695256734922
638,0.37957229511160717
639,0.39067034086838187
640,0.39688323679797727
641,0.4022896473205997
642,0.414771609759122
643,0.42332716712220975
644,0.43320519163118215
645,0.4411735029702371
646,0.44295928741658464
647,0.4482515677874072
648,0.4541660290916483
649,0.4613966593119033
650,0.4677518894425307
651,0.47034255066883796
652,0.4721458541972923
653,0.4701590238070931
654,0.46623865538139075
655,0.4653817791650856
656,0.4646177196326292
657,0.4630699653489946
658,0.4621605695156553
659,0.46096724590467847
660,0.4592526546203263
661,0.4573589324917155
662,0.45609047114871865
663,0.45331112716155636
664,0.45191037089325414
665,0.4528816317363844
666,0.4567740085197019
667,0.4609845543559315
668,0.4636805383221525
669,0.4581915852096117
670,0.4529892357823569
671,0.4434336864012749
672,0.43631392608316455
673,0.4250004123849174
674,0.4086905869906481
675,0.3907912260108831
676,0.37927920097927176
677,0.36604831272746086
678,0.34771525122153324
679,0.3286020323894187
680,0.29739972247872826
681,0.28100681032759667
682,0.25804914965704123
683,0.23955905450991707
684,0.22350024757488357
685,0.20949844059382225
686,0.19635784776142845
687,0.18037279794052222
688,0.1490607573612829
689,0.12808685226230646
690,0.11849476033492791
691,0.10720622850994635
692,0.09878205816125397
693,0.09607221981550858
694,0.1023732415197975
695,0.1128447007830766
696,0.13446798404060237
697,0.1564583810960678
698,0.16279183944498868
699,0.1704615067685461
700,0.19604423587562225
701,0.21286630422300376
702,0.22969262018175862
703,0.2374303181200746
704,0.25048058847511717
705,0.27025455778524266
706,0.2874664416347382
707,0.30652874140575664
708,0.32643830130715185
709,0.33497715138896167
710,0.3435122285993239
711,0.3479568352844915
712,0.3491610544974409
713,0.3513289638433225
714,0.3472604275642635
715,0.3516228921523118
716,0.3592217562610025
717,0.364763524136646
718,0.371026280996669
719,0.377772629363369
720,0.3856832034539633
721,0.39027222223959257
722,0.3964243616667831
723,0.40290736617380013
724,0.4089748925939262
725,0.41555475845491063
726,0.4199821827333494
727,0.42544447627248877
728,0.42633335013207513
729,0.42584565820452636
730,0.4220068220090272
731,0.41762289426325067
732,0.4190174845369043
733,0.4179548675487831
734,0.4147522112868609
735,0.4128398413769339
736,0.41081816639205415
737,0.40353376589694123
738,0.3983462842388739
739,0.3927224282224846
740,0.3875112283410882
741,0.38214367251133985
742,0.37820204679738817
743,0.3735473017344842
744,0.3690146425525139
745,0.36473003787038827
746,0.36142918511795624
747,0.3561141518671172
748,0.3510466149687439
749,0.3464505245539856
750,0.3435438662181753
751,0.33721822529014395
752,0.3313075904641862
753,0.32772210769180476
754,0.3273790149815667
755,0.32701530330578377
756,0.33014766813569113
757,0.33302688553030907
758,0.33951071443794156
759,0.3437184867699896
760,0.34692007469750125
761,0.3502599888850679
762,0.35209803295666864
763,0.355609073700059
764,0.35989393411726117
765,0.36077296464247127
766,0.36533315369571323
767,0.36939443571576636
768,0.37411466388034503
769,0.379114503956126
770,0.3847800015465393
771,0.3907671217091328
772,0.3969506172552198
773,0.40059495252467237
774,0.4036069050439917
775,0.40781757695299037
776,0.4123209237721416
777,0.41803798301928513
778,0.421750764600172
779,0.4251326335882841
780,0.42865346313371855
781,0.4303065515251172
782,0.43140660522909147
783,0.4325418167250102
784,0.43151338515381255
785,0.4297631421836642
786,0.4271373664970907
787,0.42475768598396535
788,0.4215072398879159
789,0.41867462817922896
790,0.414209848454552
791,0.4073409489348649
792,0.40112000846860524
793,0.39267739131776597
794,0.38293710449228824
795,0.3722137941178994
796,0.3617713305032461
797,0.35108176621727283
798,0.3399130935701565
799,0.3307185468062276
800,0.3197403684552133
801,0.3043611628678728
802,0.29240077627219085
803,0.27956742471335405
804,0.2637636974015419
805,0.2460963540514365
806,0.23454255430593324
807,0.22066371181300248
808,0.2126713185655463
809,0.1981622624743906
810,0.17826209887569625
811,0.1621003988039554
812,0.14806803482007877
813,0.13379383421924038
814,0.11650958228891271
815,0.09607579870374368
816,0.08864516633785362
817,0.0751828516478688
818,0.06377280600717689
819,0.05862470777182611
820,0.05813958250793329
821,0.06376832774297254
822,0.07109745999998429
823,0.07697086168599218
824,0.08340601050406858
825,0.0914098373574537
826,0.10358710138287132
827,0.10997122833974864
828,0.11738242370755236
829,0.12462814835495852
830,0.13279828923552756
831,0.14529745642840283
832,0.15519612225317925
833,0.16349715222138353
834,0.17487127003527883
835,0.1875906148644143
836,0.2035156425711102
837,0.21813522586084283
838,0.23263875269260512
839,0.24794892341146338
840,0.2624456467532833
841,0.279395420791713
842,0.29970362889043933
843,0.315491144041003
844,0.32592613396179865
845,0.3403336978777658
846,0.35344384970106285
847,0.36798612068995235
848,0.3796260640189634
849,0.39582979228010207
850,0.4068182289804032
851,0.41680914200346014
852,0.4298506049845243
853,0.43918606151547096
854,0.46008860403355806
855,0.47391584181434626
856,0.4822509688011818
857,0.4894408797544503
858,0.4960449203822522
859,0.5006195653197498
860,0.5094456792776654
861,0.5132392055503817
862,0.5142934904247225
863,0.518169397830135
864,0.5170100377070024
865,0.5137405055560607
866,0.509235795389561
867,0.5023825125310628
868,0.4969730985805148
869,0.49164547781841217
870,0.48708678472274014
871,0.4773567172229052
